ID_BIO_FISH;date;Month;Year;Species;Port;LengthClass;Weight;Sex;MaturityStage;Age
270165;30/01/2002;1;2002;WHB;MATOSINHOS;19;41.47;F;2;1
270166;30/01/2002;1;2002;WHB;MATOSINHOS;20;40.95;M;3;2
270167;30/01/2002;1;2002;WHB;MATOSINHOS;20;55.07;M;5;2
270168;30/01/2002;1;2002;WHB;MATOSINHOS;20;44.82;F;2;2
270169;30/01/2002;1;2002;WHB;MATOSINHOS;20;51.01;F;4;2
270170;30/01/2002;1;2002;WHB;MATOSINHOS;20;40.63;M;3;2
270171;30/01/2002;1;2002;WHB;MATOSINHOS;21;50.95;M;3;2
270172;30/01/2002;1;2002;WHB;MATOSINHOS;21;49.59;M;3;2
270173;30/01/2002;1;2002;WHB;MATOSINHOS;21;60.39;F;5;2
270187;30/01/2002;1;2002;WHB;MATOSINHOS;21;52.48;F;5;2
270175;30/01/2002;1;2002;WHB;MATOSINHOS;21;54.54;F;5;2
270164;30/01/2002;1;2002;WHB;MATOSINHOS;21;49.7;M;5;3
270177;30/01/2002;1;2002;WHB;MATOSINHOS;21;52.73;F;2;3
270178;30/01/2002;1;2002;WHB;MATOSINHOS;21;47.94;F;2;3
270179;30/01/2002;1;2002;WHB;MATOSINHOS;21;62.14;M;5;2
270180;30/01/2002;1;2002;WHB;MATOSINHOS;21;48.42;F;2;2
270181;30/01/2002;1;2002;WHB;MATOSINHOS;22;60.03;F;5;3
270182;30/01/2002;1;2002;WHB;MATOSINHOS;22;62.01;F;2;2
270183;30/01/2002;1;2002;WHB;MATOSINHOS;22;61.47;F;2;3
270184;30/01/2002;1;2002;WHB;MATOSINHOS;22;56.66;M;2;3
270188;30/01/2002;1;2002;WHB;MATOSINHOS;22;62.31;M;2;3
270185;30/01/2002;1;2002;WHB;MATOSINHOS;22;64.37;F;3;3
270186;30/01/2002;1;2002;WHB;MATOSINHOS;22;61.03;F;4;3
270153;30/01/2002;1;2002;WHB;MATOSINHOS;22;53.47;M;3;3
270176;30/01/2002;1;2002;WHB;MATOSINHOS;22;62.15;M;2;3
270174;30/01/2002;1;2002;WHB;MATOSINHOS;22;59.3;F;2;3
270141;30/01/2002;1;2002;WHB;MATOSINHOS;23;82.42;F;3;3
270142;30/01/2002;1;2002;WHB;MATOSINHOS;23;65.76;F;5;3
270143;30/01/2002;1;2002;WHB;MATOSINHOS;23;57.67;F;2;2
270144;30/01/2002;1;2002;WHB;MATOSINHOS;23;56.48;F;5;2
270145;30/01/2002;1;2002;WHB;MATOSINHOS;23;82.8;F;4;2
270146;30/01/2002;1;2002;WHB;MATOSINHOS;23;56.01;M;5;2
270147;30/01/2002;1;2002;WHB;MATOSINHOS;23;62.44;M;5;2
270148;30/01/2002;1;2002;WHB;MATOSINHOS;23;64.75;F;5;2
270149;30/01/2002;1;2002;WHB;MATOSINHOS;23;69.18;F;5;2
270150;30/01/2002;1;2002;WHB;MATOSINHOS;23;64.59;F;5;2
270163;30/01/2002;1;2002;WHB;MATOSINHOS;24;65.58;F;5;2
270152;30/01/2002;1;2002;WHB;MATOSINHOS;24;84.65;F;3;2
270140;30/01/2002;1;2002;WHB;MATOSINHOS;24;82.15;F;5;2
270154;30/01/2002;1;2002;WHB;MATOSINHOS;24;74.86;F;3;2
270155;30/01/2002;1;2002;WHB;MATOSINHOS;24;72.82;F;2;2
270156;30/01/2002;1;2002;WHB;MATOSINHOS;24;53.45;M;3;2
270157;30/01/2002;1;2002;WHB;MATOSINHOS;24;61.74;F;2;2
270158;30/01/2002;1;2002;WHB;MATOSINHOS;25;72.51;F;5;3
270159;30/01/2002;1;2002;WHB;MATOSINHOS;25;89.53;F;5;3
270160;30/01/2002;1;2002;WHB;MATOSINHOS;25;83.17;F;5;3
270161;30/01/2002;1;2002;WHB;MATOSINHOS;25;100.68;F;2;3
270162;30/01/2002;1;2002;WHB;MATOSINHOS;25;93.37;F;3;3
270151;30/01/2002;1;2002;WHB;MATOSINHOS;26;103.61;F;3;3
270304;13/02/2002;2;2002;WHB;MATOSINHOS;18;32.03;M;2;1
270319;13/02/2002;2;2002;WHB;MATOSINHOS;18;34.57;M;2;1
270322;13/02/2002;2;2002;WHB;MATOSINHOS;18;31.58;M;2;1
270318;13/02/2002;2;2002;WHB;MATOSINHOS;18;33.98;F;2;1
270317;13/02/2002;2;2002;WHB;MATOSINHOS;18;28.8;M;2;1
270316;13/02/2002;2;2002;WHB;MATOSINHOS;19;35.79;M;2;1
270315;13/02/2002;2;2002;WHB;MATOSINHOS;19;37.7;M;3;1
270314;13/02/2002;2;2002;WHB;MATOSINHOS;19;37.26;M;3;1
270313;13/02/2002;2;2002;WHB;MATOSINHOS;19;38.97;M;3;1
270312;13/02/2002;2;2002;WHB;MATOSINHOS;19;37.54;M;3;1
270311;13/02/2002;2;2002;WHB;MATOSINHOS;19;37.41;M;3;1
270310;13/02/2002;2;2002;WHB;MATOSINHOS;19;37.89;M;3;1
270309;13/02/2002;2;2002;WHB;MATOSINHOS;19;40.6;M;3;1
270308;13/02/2002;2;2002;WHB;MATOSINHOS;20;48.09;M;3;1
270306;13/02/2002;2;2002;WHB;MATOSINHOS;20;47.59;M;3;1
270295;13/02/2002;2;2002;WHB;MATOSINHOS;20;44.98;M;3;1
270341;13/02/2002;2;2002;WHB;MATOSINHOS;20;45.25;M;4;1
270296;13/02/2002;2;2002;WHB;MATOSINHOS;20;46.84;M;4;1
270321;13/02/2002;2;2002;WHB;MATOSINHOS;20;46.78;M;3;1
270297;13/02/2002;2;2002;WHB;MATOSINHOS;20;47.24;M;3;1
270298;13/02/2002;2;2002;WHB;MATOSINHOS;20;47.47;M;3;1
270299;13/02/2002;2;2002;WHB;MATOSINHOS;20;47.52;M;3;1
270300;13/02/2002;2;2002;WHB;MATOSINHOS;20;41.82;M;3;1
270307;13/02/2002;2;2002;WHB;MATOSINHOS;21;52.42;M;4;1
270302;13/02/2002;2;2002;WHB;MATOSINHOS;21;54.25;M;4;1
270294;13/02/2002;2;2002;WHB;MATOSINHOS;21;53.02;M;4;1
270301;13/02/2002;2;2002;WHB;MATOSINHOS;21;48.72;M;3;1
270303;13/02/2002;2;2002;WHB;MATOSINHOS;21;47.84;M;5;1
270305;13/02/2002;2;2002;WHB;MATOSINHOS;21;56.32;F;3;1
270320;13/02/2002;2;2002;WHB;MATOSINHOS;21;54.75;M;3;1
270340;13/02/2002;2;2002;WHB;MATOSINHOS;21;51.16;M;3;1
270345;13/02/2002;2;2002;WHB;MATOSINHOS;21;48.77;M;5;1
270344;13/02/2002;2;2002;WHB;MATOSINHOS;21;58.14;M;4;1
270348;13/02/2002;2;2002;WHB;MATOSINHOS;22;61.34;M;3;1
270349;13/02/2002;2;2002;WHB;MATOSINHOS;22;57.38;M;3;1
270350;13/02/2002;2;2002;WHB;MATOSINHOS;22;69.45;M;4;2
270343;13/02/2002;2;2002;WHB;MATOSINHOS;22;63.24;M;3;1
270351;13/02/2002;2;2002;WHB;MATOSINHOS;22;66.52;M;4;2
270352;13/02/2002;2;2002;WHB;MATOSINHOS;22;66.03;M;4;2
270353;13/02/2002;2;2002;WHB;MATOSINHOS;22;55.4;F;3;2
270360;13/02/2002;2;2002;WHB;MATOSINHOS;22;61.09;M;3;2
270355;13/02/2002;2;2002;WHB;MATOSINHOS;22;67.03;M;3;2
270356;13/02/2002;2;2002;WHB;MATOSINHOS;22;69.63;M;3;2
270358;13/02/2002;2;2002;WHB;MATOSINHOS;23;67.36;M;4;2
270354;13/02/2002;2;2002;WHB;MATOSINHOS;23;75.14;M;3;2
270361;13/02/2002;2;2002;WHB;MATOSINHOS;23;71.99;M;4;2
270359;13/02/2002;2;2002;WHB;MATOSINHOS;23;72.6;M;4;2
270357;13/02/2002;2;2002;WHB;MATOSINHOS;23;74.8;M;4;2
270347;13/02/2002;2;2002;WHB;MATOSINHOS;23;62.9;F;3;2
270331;13/02/2002;2;2002;WHB;MATOSINHOS;24;82.48;M;4;2
270324;13/02/2002;2;2002;WHB;MATOSINHOS;24;84.9;F;3;2
270325;13/02/2002;2;2002;WHB;MATOSINHOS;24;78.88;M;5;2
270326;13/02/2002;2;2002;WHB;MATOSINHOS;24;77.44;M;3;2
270327;13/02/2002;2;2002;WHB;MATOSINHOS;24;88.63;M;4;2
270328;13/02/2002;2;2002;WHB;MATOSINHOS;24;86.24;M;4;3
270329;13/02/2002;2;2002;WHB;MATOSINHOS;25;96.11;M;4;3
270330;13/02/2002;2;2002;WHB;MATOSINHOS;25;90.07;F;3;2
