ID_BIO_FISH;date;Month;Year;Species;Port;LengthClass;Weight;Sex;MaturityStage;Age
270342;13/02/2002;2;2002;WHB;MATOSINHOS;25;89.12;M;5;2
270332;13/02/2002;2;2002;WHB;MATOSINHOS;25;92.61;M;4;2
270323;13/02/2002;2;2002;WHB;MATOSINHOS;26;94.15;M;4;2
270334;13/02/2002;2;2002;WHB;MATOSINHOS;26;102.6;M;5;3
270333;13/02/2002;2;2002;WHB;MATOSINHOS;26;111.26;M;4;3
270335;13/02/2002;2;2002;WHB;MATOSINHOS;26;117.74;M;4;3
270346;13/02/2002;2;2002;WHB;MATOSINHOS;27;108.5;M;5;3
270336;13/02/2002;2;2002;WHB;MATOSINHOS;27;132.7;M;4;2
270337;13/02/2002;2;2002;WHB;MATOSINHOS;27;115.54;M;5;3
270338;13/02/2002;2;2002;WHB;MATOSINHOS;27;113.67;M;4;3
270339;13/02/2002;2;2002;WHB;MATOSINHOS;29;178.27;F;4;3
260050;04/02/2002;2;2002;WHB;PENICHE;17;24;F;1;1
260051;04/02/2002;2;2002;WHB;PENICHE;17;26;I;;1
260052;04/02/2002;2;2002;WHB;PENICHE;17;27.8;F;1;1
260053;04/02/2002;2;2002;WHB;PENICHE;18;28.7;M;1;1
260054;04/02/2002;2;2002;WHB;PENICHE;18;31.5;I;;1
260055;04/02/2002;2;2002;WHB;PENICHE;18;30.5;M;1;1
260056;04/02/2002;2;2002;WHB;PENICHE;18;28.7;F;1;1
260057;04/02/2002;2;2002;WHB;PENICHE;19;41.6;M;2;2
260058;04/02/2002;2;2002;WHB;PENICHE;19;40.9;F;2;2
260059;04/02/2002;2;2002;WHB;PENICHE;19;38.2;F;2;2
260060;04/02/2002;2;2002;WHB;PENICHE;19;37.4;F;1;2
260061;04/02/2002;2;2002;WHB;PENICHE;19;41.7;F;2;2
260062;04/02/2002;2;2002;WHB;PENICHE;19;42.1;F;2;2
260063;04/02/2002;2;2002;WHB;PENICHE;19;30.9;M;2;
260064;04/02/2002;2;2002;WHB;PENICHE;19;39.6;M;2;2
260065;04/02/2002;2;2002;WHB;PENICHE;19;41.8;M;2;2
260066;04/02/2002;2;2002;WHB;PENICHE;19;31;M;2;2
260067;04/02/2002;2;2002;WHB;PENICHE;20;45.6;F;2;2
260068;04/02/2002;2;2002;WHB;PENICHE;20;41.8;F;2;2
260069;04/02/2002;2;2002;WHB;PENICHE;20;43.7;F;2;2
260070;04/02/2002;2;2002;WHB;PENICHE;20;47.5;M;2;2
260071;04/02/2002;2;2002;WHB;PENICHE;20;40;M;2;2
260072;04/02/2002;2;2002;WHB;PENICHE;20;45.9;F;2;2
260073;04/02/2002;2;2002;WHB;PENICHE;20;47.1;F;2;2
260074;04/02/2002;2;2002;WHB;PENICHE;20;42.9;F;2;2
260075;04/02/2002;2;2002;WHB;PENICHE;20;40;M;2;2
260076;04/02/2002;2;2002;WHB;PENICHE;20;45.5;F;1;2
260077;04/02/2002;2;2002;WHB;PENICHE;21;49.7;M;1;3
260078;04/02/2002;2;2002;WHB;PENICHE;21;50.3;M;1;2
260079;04/02/2002;2;2002;WHB;PENICHE;21;46.1;F;2;2
260080;04/02/2002;2;2002;WHB;PENICHE;21;50.2;F;2;2
260081;04/02/2002;2;2002;WHB;PENICHE;21;44.4;M;1;2
260082;04/02/2002;2;2002;WHB;PENICHE;21;41.9;M;2;2
260083;04/02/2002;2;2002;WHB;PENICHE;21;55.6;F;1;2
260084;04/02/2002;2;2002;WHB;PENICHE;21;59.7;F;2;2
260085;04/02/2002;2;2002;WHB;PENICHE;21;52.9;F;2;2
260086;04/02/2002;2;2002;WHB;PENICHE;21;48.4;M;2;2
260087;04/02/2002;2;2002;WHB;PENICHE;22;61;F;5;2
260088;04/02/2002;2;2002;WHB;PENICHE;22;57.7;F;1;2
260089;04/02/2002;2;2002;WHB;PENICHE;22;42.5;M;2;2
260090;04/02/2002;2;2002;WHB;PENICHE;22;50;M;2;3
262455;04/02/2002;2;2002;WHB;PENICHE;22;60.7;M;2;3
260091;04/02/2002;2;2002;WHB;PENICHE;22;53.2;F;1;2
260092;04/02/2002;2;2002;WHB;PENICHE;22;65.6;M;1;2
260093;04/02/2002;2;2002;WHB;PENICHE;22;53.4;F;1;2
260094;04/02/2002;2;2002;WHB;PENICHE;22;58.3;F;1;2
260095;04/02/2002;2;2002;WHB;PENICHE;22;60;M;2;3
260096;04/02/2002;2;2002;WHB;PENICHE;23;69.1;F;2;3
262456;04/02/2002;2;2002;WHB;PENICHE;23;60.1;M;2;3
260097;04/02/2002;2;2002;WHB;PENICHE;24;62.6;M;2;3
260098;04/02/2002;2;2002;WHB;PENICHE;24;79.2;M;2;3
260099;05/02/2002;2;2002;WHB;PENICHE;16;22.2;I;;1
260100;05/02/2002;2;2002;WHB;PENICHE;16;21;I;;1
260101;05/02/2002;2;2002;WHB;PENICHE;16;21;F;1;1
260102;05/02/2002;2;2002;WHB;PENICHE;16;19;I;;1
260103;05/02/2002;2;2002;WHB;PENICHE;16;19.9;I;;1
260132;05/02/2002;2;2002;WHB;PENICHE;16;22.6;F;1;1
260104;05/02/2002;2;2002;WHB;PENICHE;16;22;M;1;1
260105;05/02/2002;2;2002;WHB;PENICHE;16;18.6;I;;1
260106;05/02/2002;2;2002;WHB;PENICHE;16;24;M;1;1
262457;05/02/2002;2;2002;WHB;PENICHE;16;22.7;M;1;1
260107;05/02/2002;2;2002;WHB;PENICHE;17;23.1;F;1;1
260131;05/02/2002;2;2002;WHB;PENICHE;17;23.7;M;1;1
260108;05/02/2002;2;2002;WHB;PENICHE;17;25.9;I;;1
260109;05/02/2002;2;2002;WHB;PENICHE;17;26.9;I;;1
260110;05/02/2002;2;2002;WHB;PENICHE;17;24.8;I;;1
260111;05/02/2002;2;2002;WHB;PENICHE;17;22.4;M;1;1
260130;05/02/2002;2;2002;WHB;PENICHE;17;22.9;F;1;1
260129;05/02/2002;2;2002;WHB;PENICHE;17;19.6;I;;1
260112;05/02/2002;2;2002;WHB;PENICHE;17;24.4;I;;1
260113;05/02/2002;2;2002;WHB;PENICHE;17;24.3;I;;1
262458;05/02/2002;2;2002;WHB;PENICHE;18;28.8;F;1;1
260114;05/02/2002;2;2002;WHB;PENICHE;18;28.2;I;;1
260115;05/02/2002;2;2002;WHB;PENICHE;18;29.2;I;;1
260133;05/02/2002;2;2002;WHB;PENICHE;18;26.4;F;1;1
260134;05/02/2002;2;2002;WHB;PENICHE;18;26.7;M;1;1
260116;05/02/2002;2;2002;WHB;PENICHE;18;24.5;I;;1
260117;05/02/2002;2;2002;WHB;PENICHE;18;26.5;I;;1
260118;05/02/2002;2;2002;WHB;PENICHE;18;26.3;I;;1
260119;05/02/2002;2;2002;WHB;PENICHE;18;23.6;I;;1
262459;05/02/2002;2;2002;WHB;PENICHE;18;28.2;F;1;1
260120;05/02/2002;2;2002;WHB;PENICHE;19;35.4;M;1;2
260121;05/02/2002;2;2002;WHB;PENICHE;19;34.6;M;1;2
260122;05/02/2002;2;2002;WHB;PENICHE;19;29.8;F;1;1
260123;05/02/2002;2;2002;WHB;PENICHE;19;31.5;I;;2
260124;05/02/2002;2;2002;WHB;PENICHE;19;34.6;I;;2
260125;05/02/2002;2;2002;WHB;PENICHE;19;33.3;I;;1
260126;05/02/2002;2;2002;WHB;PENICHE;19;37.2;I;;2
262460;05/02/2002;2;2002;WHB;PENICHE;19;35.7;M;1;1
260127;05/02/2002;2;2002;WHB;PENICHE;19;33;I;;1
260128;05/02/2002;2;2002;WHB;PENICHE;19;32.4;I;;2
260150;05/02/2002;2;2002;WHB;PENICHE;20;35;F;1;2
260135;05/02/2002;2;2002;WHB;PENICHE;20;45.2;M;1;2
260136;05/02/2002;2;2002;WHB;PENICHE;20;34.6;M;1;2
262461;05/02/2002;2;2002;WHB;PENICHE;20;38.3;I;;2
260137;05/02/2002;2;2002;WHB;PENICHE;20;34.9;F;1;2
260138;05/02/2002;2;2002;WHB;PENICHE;20;32.8;I;;2
260139;05/02/2002;2;2002;WHB;PENICHE;20;31.5;I;;2
260140;05/02/2002;2;2002;WHB;PENICHE;20;30.9;F;1;2
260141;05/02/2002;2;2002;WHB;PENICHE;20;41.9;M;1;2
262462;05/02/2002;2;2002;WHB;PENICHE;20;46.3;F;1;2
260142;05/02/2002;2;2002;WHB;PENICHE;21;41.3;I;;2
260143;05/02/2002;2;2002;WHB;PENICHE;21;47.4;I;;2
260144;05/02/2002;2;2002;WHB;PENICHE;21;40.1;F;1;2
260145;05/02/2002;2;2002;WHB;PENICHE;21;47;M;1;2
260146;05/02/2002;2;2002;WHB;PENICHE;21;39.5;M;1;2
260147;05/02/2002;2;2002;WHB;PENICHE;21;50.4;M;2;2
262463;05/02/2002;2;2002;WHB;PENICHE;21;42.9;F;1;2
260148;05/02/2002;2;2002;WHB;PENICHE;22;44.8;M;1;2
260149;05/02/2002;2;2002;WHB;PENICHE;22;57.8;F;1;3
270622;13/03/2002;3;2002;WHB;MATOSINHOS;17;26.01;F;1;1
270601;13/03/2002;3;2002;WHB;MATOSINHOS;17;29.09;F;1;1
270600;13/03/2002;3;2002;WHB;MATOSINHOS;17;27.59;F;1;1
270587;13/03/2002;3;2002;WHB;MATOSINHOS;17;24.16;F;1;1
270598;13/03/2002;3;2002;WHB;MATOSINHOS;17;28.67;M;1;1
270602;13/03/2002;3;2002;WHB;MATOSINHOS;17;31.42;M;1;1
270596;13/03/2002;3;2002;WHB;MATOSINHOS;17;28.23;M;1;1
270595;13/03/2002;3;2002;WHB;MATOSINHOS;17;28.48;F;1;1
270594;13/03/2002;3;2002;WHB;MATOSINHOS;17;27.81;M;1;1
270593;13/03/2002;3;2002;WHB;MATOSINHOS;17;28.76;M;2;1
270592;13/03/2002;3;2002;WHB;MATOSINHOS;18;30.01;M;2;1
270591;13/03/2002;3;2002;WHB;MATOSINHOS;18;35.52;M;3;1
270590;13/03/2002;3;2002;WHB;MATOSINHOS;18;37.89;F;3;1
270589;13/03/2002;3;2002;WHB;MATOSINHOS;18;36;F;3;1
270586;13/03/2002;3;2002;WHB;MATOSINHOS;18;35.34;M;2;1
270620;13/03/2002;3;2002;WHB;MATOSINHOS;18;31.69;M;2;1
270579;13/03/2002;3;2002;WHB;MATOSINHOS;18;34.31;F;2;1
270631;13/03/2002;3;2002;WHB;MATOSINHOS;18;38.44;F;3;1
270580;13/03/2002;3;2002;WHB;MATOSINHOS;18;35.84;M;4;1
270581;13/03/2002;3;2002;WHB;MATOSINHOS;18;35.38;M;2;1
270582;13/03/2002;3;2002;WHB;MATOSINHOS;19;40.68;M;3;1
270583;13/03/2002;3;2002;WHB;MATOSINHOS;19;41.61;M;3;1
270584;13/03/2002;3;2002;WHB;MATOSINHOS;19;37.93;F;3;1
270588;13/03/2002;3;2002;WHB;MATOSINHOS;19;40;M;3;1
270585;13/03/2002;3;2002;WHB;MATOSINHOS;19;39.91;F;3;2
270578;13/03/2002;3;2002;WHB;MATOSINHOS;19;38.48;M;3;1
270597;13/03/2002;3;2002;WHB;MATOSINHOS;19;36.96;F;2;1
270617;13/03/2002;3;2002;WHB;MATOSINHOS;19;36.82;F;3;1
270629;13/03/2002;3;2002;WHB;MATOSINHOS;19;38.2;M;2;2
270628;13/03/2002;3;2002;WHB;MATOSINHOS;19;36.5;F;2;1
270627;13/03/2002;3;2002;WHB;MATOSINHOS;20;47.12;F;3;1
270626;13/03/2002;3;2002;WHB;MATOSINHOS;20;42.28;F;2;1
270625;13/03/2002;3;2002;WHB;MATOSINHOS;20;45.14;F;5;1
270624;13/03/2002;3;2002;WHB;MATOSINHOS;20;43.47;F;3;1
270623;13/03/2002;3;2002;WHB;MATOSINHOS;20;41.88;M;2;1
270615;13/03/2002;3;2002;WHB;MATOSINHOS;20;39.63;F;3;1
270621;13/03/2002;3;2002;WHB;MATOSINHOS;20;47.1;F;3;1
270599;13/03/2002;3;2002;WHB;MATOSINHOS;20;43.14;F;3;1
270619;13/03/2002;3;2002;WHB;MATOSINHOS;20;49.25;F;3;1
270618;13/03/2002;3;2002;WHB;MATOSINHOS;20;44.87;F;3;1
270603;13/03/2002;3;2002;WHB;MATOSINHOS;21;48.49;F;4;1
270616;13/03/2002;3;2002;WHB;MATOSINHOS;21;51;F;3;1
270630;13/03/2002;3;2002;WHB;MATOSINHOS;21;49.75;F;5;1
270614;13/03/2002;3;2002;WHB;MATOSINHOS;21;45.31;F;3;2
270613;13/03/2002;3;2002;WHB;MATOSINHOS;21;34.04;M;3;2
270612;13/03/2002;3;2002;WHB;MATOSINHOS;21;43.36;M;2;1
270611;13/03/2002;3;2002;WHB;MATOSINHOS;21;44.88;M;3;2
270610;13/03/2002;3;2002;WHB;MATOSINHOS;21;50.14;M;2;2
270609;13/03/2002;3;2002;WHB;MATOSINHOS;21;55.21;F;3;2
270608;13/03/2002;3;2002;WHB;MATOSINHOS;22;64.87;F;5;2
270607;13/03/2002;3;2002;WHB;MATOSINHOS;22;51.63;M;3;2
270606;13/03/2002;3;2002;WHB;MATOSINHOS;23;60.74;M;5;2
270605;13/03/2002;3;2002;WHB;MATOSINHOS;23;55.3;F;5;2
270604;13/03/2002;3;2002;WHB;MATOSINHOS;23;48.5;F;5;2
258203;11/03/2002;3;2002;WHB;PENICHE;16;30.2;;;1
258190;11/03/2002;3;2002;WHB;PENICHE;16;26.7;;;1
258204;11/03/2002;3;2002;WHB;PENICHE;16;22.3;;;1
258236;11/03/2002;3;2002;WHB;PENICHE;16;22.9;F;1;1
258189;11/03/2002;3;2002;WHB;PENICHE;16;17.6;F;1;1
258191;11/03/2002;3;2002;WHB;PENICHE;16;23.6;;;1
262233;11/03/2002;3;2002;WHB;PENICHE;16;23.3;;;1
258192;11/03/2002;3;2002;WHB;PENICHE;16;20.2;;;1
258237;11/03/2002;3;2002;WHB;PENICHE;16;21;;;1
258183;11/03/2002;3;2002;WHB;PENICHE;16;19.8;;1;1
258188;11/03/2002;3;2002;WHB;PENICHE;17;29.7;F;1;1
258193;11/03/2002;3;2002;WHB;PENICHE;17;29.3;F;;1
258187;11/03/2002;3;2002;WHB;PENICHE;17;26.2;;1;1
258238;11/03/2002;3;2002;WHB;PENICHE;17;27.3;F;;1
258194;11/03/2002;3;2002;WHB;PENICHE;17;25.3;;1;1
258239;11/03/2002;3;2002;WHB;PENICHE;17;28.2;M;;1
258240;11/03/2002;3;2002;WHB;PENICHE;17;27.8;;;1
258195;11/03/2002;3;2002;WHB;PENICHE;17;22.4;;1;1
258184;11/03/2002;3;2002;WHB;PENICHE;17;23.7;M;1;1
258241;11/03/2002;3;2002;WHB;PENICHE;17;27.8;F;1;1
258196;11/03/2002;3;2002;WHB;PENICHE;18;29.2;M;;1
262234;11/03/2002;3;2002;WHB;PENICHE;18;34.8;;;1
258242;11/03/2002;3;2002;WHB;PENICHE;18;29.2;;;1
258197;11/03/2002;3;2002;WHB;PENICHE;18;25.9;;;1
258243;11/03/2002;3;2002;WHB;PENICHE;18;34;F;1;1
258185;11/03/2002;3;2002;WHB;PENICHE;18;29.3;M;1;1
258198;11/03/2002;3;2002;WHB;PENICHE;18;30.5;;;1
258244;11/03/2002;3;2002;WHB;PENICHE;18;31;;;1
258199;11/03/2002;3;2002;WHB;PENICHE;18;33.7;;;1
258245;11/03/2002;3;2002;WHB;PENICHE;18;32.8;M;1;1
258200;11/03/2002;3;2002;WHB;PENICHE;19;40.4;M;2;2
262235;11/03/2002;3;2002;WHB;PENICHE;19;34.5;F;2;2
258246;11/03/2002;3;2002;WHB;PENICHE;19;39;M;1;2
258201;11/03/2002;3;2002;WHB;PENICHE;19;34.9;F;2;2
258247;11/03/2002;3;2002;WHB;PENICHE;19;36.5;M;2;1
258186;11/03/2002;3;2002;WHB;PENICHE;19;39.5;F;2;1
258248;11/03/2002;3;2002;WHB;PENICHE;19;31;F;1;1
258202;11/03/2002;3;2002;WHB;PENICHE;19;40.2;F;1;1
258249;11/03/2002;3;2002;WHB;PENICHE;19;27.6;M;2;1
258250;11/03/2002;3;2002;WHB;PENICHE;19;30.3;M;1;1
258251;11/03/2002;3;2002;WHB;PENICHE;20;41.2;M;2;2
258252;11/03/2002;3;2002;WHB;PENICHE;20;37.7;F;2;2
262236;11/03/2002;3;2002;WHB;PENICHE;20;41.4;M;2;2
258253;11/03/2002;3;2002;WHB;PENICHE;20;45.4;F;2;2
258254;11/03/2002;3;2002;WHB;PENICHE;20;42.1;F;2;2
258255;11/03/2002;3;2002;WHB;PENICHE;20;38.1;F;2;2
258256;11/03/2002;3;2002;WHB;PENICHE;20;41.3;M;2;2
258257;11/03/2002;3;2002;WHB;PENICHE;20;46.4;M;1;2
258258;11/03/2002;3;2002;WHB;PENICHE;20;36.5;M;2;2
258259;11/03/2002;3;2002;WHB;PENICHE;20;43.3;F;2;2
262237;11/03/2002;3;2002;WHB;PENICHE;21;56.6;F;2;2
258260;11/03/2002;3;2002;WHB;PENICHE;21;31;M;1;2
258261;11/03/2002;3;2002;WHB;PENICHE;21;53.2;M;2;2
258262;11/03/2002;3;2002;WHB;PENICHE;21;49.9;F;3;2
258263;11/03/2002;3;2002;WHB;PENICHE;21;51.4;F;2;2
258264;11/03/2002;3;2002;WHB;PENICHE;21;53.9;F;2;2
258265;11/03/2002;3;2002;WHB;PENICHE;21;46.6;M;2;2
258266;11/03/2002;3;2002;WHB;PENICHE;21;55.9;F;1;2
258267;11/03/2002;3;2002;WHB;PENICHE;21;39;F;2;2
258268;11/03/2002;3;2002;WHB;PENICHE;21;56.9;F;2;2
262238;11/03/2002;3;2002;WHB;PENICHE;22;52.2;F;2;2
258269;11/03/2002;3;2002;WHB;PENICHE;23;62.6;F;3;2
270830;08/04/2002;4;2002;WHB;MATOSINHOS;18;34.98;M;1;1
270845;08/04/2002;4;2002;WHB;MATOSINHOS;18;32.57;M;1;1
270831;08/04/2002;4;2002;WHB;MATOSINHOS;18;34.03;M;1;1
270828;08/04/2002;4;2002;WHB;MATOSINHOS;18;32.87;M;1;1
270832;08/04/2002;4;2002;WHB;MATOSINHOS;18;35.73;F;2;1
270833;08/04/2002;4;2002;WHB;MATOSINHOS;18;39.19;M;1;1
270834;08/04/2002;4;2002;WHB;MATOSINHOS;18;34.62;M;2;1
270835;08/04/2002;4;2002;WHB;MATOSINHOS;18;34.97;M;2;1
270836;08/04/2002;4;2002;WHB;MATOSINHOS;18;36.17;M;2;1
270844;08/04/2002;4;2002;WHB;MATOSINHOS;18;33.32;M;2;1
270838;08/04/2002;4;2002;WHB;MATOSINHOS;19;38.42;M;2;1
270839;08/04/2002;4;2002;WHB;MATOSINHOS;19;43.69;F;2;1
270840;08/04/2002;4;2002;WHB;MATOSINHOS;19;38.68;F;2;1
270841;08/04/2002;4;2002;WHB;MATOSINHOS;19;44.91;M;2;1
270842;08/04/2002;4;2002;WHB;MATOSINHOS;19;43.57;F;2;1
270843;08/04/2002;4;2002;WHB;MATOSINHOS;19;39.81;F;2;1
270837;08/04/2002;4;2002;WHB;MATOSINHOS;19;31.95;F;2;1
270829;08/04/2002;4;2002;WHB;MATOSINHOS;19;38.92;F;2;1
270826;08/04/2002;4;2002;WHB;MATOSINHOS;19;38.02;F;2;1
270812;08/04/2002;4;2002;WHB;MATOSINHOS;19;40.07;F;2;1
