"Record_type";"Sampling_type";"Landing_country";"Vessel_flag_country";"Year";"Project";"Trip_number";"Station_number";"Species";"Catch_category";"Landing_category";"Comm_size_cat_scale";"Comm_size_cat";"Subsampling_category";"Sex";"Weight";"Subsample_weight";"Length_code"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"107381";"DIS";"HUC";;NULL;;;"2559";"196";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"107552";"DIS";"HUC";;NULL;;;"22715";"229";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"107552";"LAN";"HUC";;NULL;;;"76500";"381";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"107616";"DIS";"HUC";;NULL;;;"65";"5";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"107651";"DIS";"HUC";;NULL;;;"26";"2";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"125909";"DIS";"HUC";;NULL;;;"339";"26";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"126505";"DIS";"HUC";;NULL;;;"52";"4";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"126736";"DIS";"HUC";;NULL;;;"2298";"176";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"126756";"DIS";"HUC";;NULL;;;"157";"12";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"126792";"DIS";"HUC";;NULL;;;"104";"8";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"126795";"DIS";"HUC";;NULL;;;"26";"2";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"126928";"DIS";"HUC";;NULL;;;"196";"15";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127139";"DIS";"HUC";;NULL;;;"6606";"506";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127141";"DIS";"HUC";;NULL;;;"653";"50";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127143";"DIS";"HUC";;NULL;;;"39";"3";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127160";"DIS";"HUC";;NULL;;;"91";"7";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127190";"DIS";"HUC";;NULL;;;"1880";"144";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127203";"DIS";"HUC";;NULL;;;"1345";"103";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127219";"DIS";"HUC";;NULL;;;"13";"1";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"1";"127389";"DIS";"HUC";;NULL;;;"91";"7";"cm"
