"Record_type";"Sampling_type";"Landing_country";"Vessel_flag_country";"Year";"Project";"Trip_number";"Station_number";"Species";"Catch_category";"Landing_category";"Comm_size_cat_scale";"Comm_size_cat";"Subsampling_category";"Sex";"Weight";"Subsample_weight";"Length_code"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"106763";"DIS";"HUC";;NULL;;;"3693";"288";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"107552";"DIS";"HUC";;NULL;;;"29750";"190";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"107552";"LAN";"HUC";;NULL;;;"59500";"382";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"107651";"DIS";"HUC";;NULL;;;"462";"36";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"125909";"DIS";"HUC";;NULL;;;"256";"20";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"126417";"DIS";"HUC";;NULL;;;"64";"5";"scm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"126736";"DIS";"HUC";;NULL;;;"3847";"300";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"126792";"DIS";"HUC";;NULL;;;"269";"21";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"126928";"DIS";"HUC";;NULL;;;"256";"20";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"127141";"DIS";"HUC";;NULL;;;"1000";"78";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"127149";"DIS";"HUC";;NULL;;;"577";"45";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"127153";"DIS";"HUC";;NULL;;;"13";"1";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"127160";"DIS";"HUC";;NULL;;;"1923";"150";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"127190";"DIS";"HUC";;NULL;;;"1923";"150";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"2";"127203";"DIS";"HUC";;NULL;;;"2539";"198";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"107381";"DIS";"HUC";;NULL;;;"134";"12";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"107451";"DIS";"HUC";;NULL;;;"246";"22";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"107552";"DIS";"HUC";;NULL;;;"22928";"154";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"107552";"LAN";"HUC";;NULL;;;"42500";"207";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"107651";"DIS";"HUC";;NULL;;;"626";"56";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"126736";"DIS";"HUC";;NULL;;;"11475";"1026";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"126928";"DIS";"HUC";;NULL;;;"45";"4";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"127141";"DIS";"HUC";;NULL;;;"201";"18";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"127160";"DIS";"HUC";;NULL;;;"470";"42";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"127190";"DIS";"HUC";;NULL;;;"526";"47";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"127203";"DIS";"HUC";;NULL;;;"615";"55";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684193";"3";"127389";"DIS";"HUC";;NULL;;;"11";"1";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"106763";"DIS";"HUC";;NULL;;;"3928";"244";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"107381";"DIS";"HUC";;NULL;;;"5071";"315";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"107552";"DIS";"HUC";;NULL;;;"38475";"156";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"107552";"LAN";"HUC";;NULL;;;"42500";"337";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"107651";"DIS";"HUC";;NULL;;;"161";"10";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126425";"DIS";"HUC";;NULL;;;"563";"35";"scm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126436";"DIS";"HUC";;NULL;;;"129";"8";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126438";"DIS";"HUC";;NULL;;;"28253";"864";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126736";"DIS";"HUC";;NULL;;;"612";"38";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126752";"DIS";"HUC";;NULL;;;"6085";"378";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126756";"DIS";"HUC";;NULL;;;"676";"42";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126792";"DIS";"HUC";;NULL;;;"580";"36";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126928";"DIS";"HUC";;NULL;;;"209";"13";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"126986";"DIS";"HUC";;NULL;;;"628";"39";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"127143";"DIS";"HUC";;NULL;;;"11607";"143";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"127190";"DIS";"HUC";;NULL;;;"467";"29";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"127219";"DIS";"HUC";;NULL;;;"97";"6";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"127389";"DIS";"HUC";;NULL;;;"837";"52";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"1";"1360";"DIS";"HUC";;NULL;;;"32";"2";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"106763";"DIS";"HUC";;NULL;;;"5780";"425";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"107381";"DIS";"HUC";;NULL;;;"1700";"125";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"107552";"DIS";"HUC";;NULL;;;"39440";"144";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"107552";"LAN";"HUC";;NULL;;;"34000";"346";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"107651";"DIS";"HUC";;NULL;;;"54";"4";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126425";"DIS";"HUC";;NULL;;;"381";"28";"scm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126438";"DIS";"HUC";;NULL;;;"4991";"367";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126736";"DIS";"HUC";;NULL;;;"830";"61";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126752";"DIS";"HUC";;NULL;;;"1931";"142";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126792";"DIS";"HUC";;NULL;;;"585";"43";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126928";"DIS";"HUC";;NULL;;;"163";"12";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"126986";"DIS";"HUC";;NULL;;;"612";"45";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"127139";"DIS";"HUC";;NULL;;;"3346";"246";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"127141";"DIS";"HUC";;NULL;;;"1890";"139";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"127143";"DIS";"HUC";;NULL;;;"13722";"302";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"127149";"DIS";"HUC";;NULL;;;"911";"67";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"127190";"DIS";"HUC";;NULL;;;"231";"17";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"127389";"DIS";"HUC";;NULL;;;"639";"47";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"2";"1360";"DIS";"HUC";;NULL;;;"27";"2";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"106763";"DIS";"HUC";;NULL;;;"2899";"324";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"107381";"DIS";"HUC";;NULL;;;"358";"40";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"107552";"DIS";"HUC";;NULL;;;"23263";"218";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"107552";"LAN";"HUC";;NULL;;;"17000";"323";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"107651";"DIS";"HUC";;NULL;;;"89";"10";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"126425";"DIS";"HUC";;NULL;;;"922";"103";"scm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"126438";"DIS";"HUC";;NULL;;;"6129";"685";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"126736";"DIS";"HUC";;NULL;;;"823";"92";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"126928";"DIS";"HUC";;NULL;;;"9";"1";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127123";"DIS";"HUC";;NULL;;;"242";"27";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127139";"DIS";"HUC";;NULL;;;"1754";"196";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127141";"DIS";"HUC";;NULL;;;"769";"86";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127143";"DIS";"HUC";;NULL;;;"4348";"210";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127190";"DIS";"HUC";;NULL;;;"36";"4";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127203";"DIS";"HUC";;NULL;;;"546";"61";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684229";"3";"127389";"DIS";"HUC";;NULL;;;"81";"9";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"107451";"DIS";"HUC";;NULL;;;"844";"37";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"107552";"DIS";"HUC";;NULL;;;"132040";"156";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"107552";"LAN";"HUC";;NULL;;;"93500";"372";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"126448";"DIS";"HUC";;NULL;;;"889";"39";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"126736";"DIS";"HUC";;NULL;;;"1756";"77";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"126928";"DIS";"HUC";;NULL;;;"730";"32";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"127139";"DIS";"HUC";;NULL;;;"23";"1";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"127141";"DIS";"HUC";;NULL;;;"2098";"92";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"127143";"DIS";"HUC";;NULL;;;"9578";"420";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"127190";"DIS";"HUC";;NULL;;;"4857";"213";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"127219";"DIS";"HUC";;NULL;;;"5610";"246";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"1";"127389";"DIS";"HUC";;NULL;;;"958";"19";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"107381";"DIS";"HUC";;NULL;;;"1709";"67";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"107552";"DIS";"HUC";;NULL;;;"89250";"143";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"107552";"LAN";"HUC";;NULL;;;"102000";"332";"mm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"126417";"DIS";"HUC";;NULL;;;"3111";"122";"scm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"126436";"DIS";"HUC";;NULL;;;"114";"114";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"126448";"DIS";"HUC";;NULL;;;"3749";"147";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"126736";"DIS";"HUC";;NULL;;;"5789";"227";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"126928";"DIS";"HUC";;NULL;;;"1734";"68";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"127141";"DIS";"HUC";;NULL;;;"2882";"113";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"127143";"DIS";"HUC";;NULL;;;"5534";"217";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"127190";"DIS";"HUC";;NULL;;;"1326";"52";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"127219";"DIS";"HUC";;NULL;;;"3749";"147";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150684286";"2";"127389";"DIS";"HUC";;NULL;;;"765";"13";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"105865";"BMS";"HUC";;NULL;;;"8000";"7685";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"126436";"LAN";"HUC";;NULL;;;"3000000";"1229925";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"126437";"LAN";"HUC";;NULL;;;"20000";"8065";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"126757";"BMS";"HUC";;NULL;;;"10000";"5045";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"126759";"LAN";"HUC";;NULL;;;"38000";"21325";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"127137";"LAN";"HUC";;NULL;;;"45000";"10615";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"1";"127144";"LAN";"HUC";;NULL;;;"15000";"13470";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"4";"105865";"BMS";"HUC";;NULL;;;"44000";"44000";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"4";"126436";"LAN";"HUC";;NULL;;;"2098000";"271585";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"4";"126757";"BMS";"HUC";;NULL;;;"65000";"65000";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"4";"126759";"LAN";"HUC";;NULL;;;"37000";"4190";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"4";"127137";"LAN";"HUC";;NULL;;;"66000";"5240";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"4";"127144";"LAN";"HUC";;NULL;;;"13500";"13500";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"105865";"BMS";"HUC";;NULL;;;"22000";"6955";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"126436";"LAN";"HUC";;NULL;;;"8024000";"1482190";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"126437";"LAN";"HUC";;NULL;;;"18590";"18590";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"126757";"BMS";"HUC";;NULL;;;"55000";"21680";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"126758";"LAN";"HUC";;NULL;;;"2215";"2215";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"126759";"LAN";"HUC";;NULL;;;"7000";"4065";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"127137";"LAN";"HUC";;NULL;;;"73000";"12790";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"127144";"LAN";"HUC";;NULL;;;"13500";"2520";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"5";"127214";"BMS";"HUC";;NULL;;;"2800";"2800";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"105865";"BMS";"HUC";;NULL;;;"22000";"2980";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"126436";"LAN";"HUC";;NULL;;;"6233000";"1053710";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"126437";"LAN";"HUC";;NULL;;;"16950";"16950";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"126757";"BMS";"HUC";;NULL;;;"55000";"13540";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"126759";"LAN";"HUC";;NULL;;;"16220";"16220";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"127137";"LAN";"HUC";;NULL;;;"73000";"8960";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"127144";"LAN";"HUC";;NULL;;;"1070";"1070";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"7";"127254";"LAN";"HUC";;NULL;;;"1000";"490";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"105865";"BMS";"HUC";;NULL;;;"22000";"2250";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"126436";"LAN";"HUC";;NULL;;;"13931000";"1460705";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"126437";"LAN";"HUC";;NULL;;;"15590";"15590";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"126757";"BMS";"HUC";;NULL;;;"55000";"15240";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"126759";"LAN";"HUC";;NULL;;;"9000";"9000";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"127137";"LAN";"HUC";;NULL;;;"330000";"9675";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"8";"127254";"LAN";"HUC";;NULL;;;"725";"725";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"10";"105865";"BMS";"HUC";;NULL;;;"22000";"4005";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"10";"126436";"LAN";"HUC";;NULL;;;"19759000";"1498040";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"10";"126437";"LAN";"HUC";;NULL;;;"27625";"27625";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"10";"126757";"BMS";"HUC";;NULL;;;"55000";"55000";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"10";"126759";"LAN";"HUC";;NULL;;;"3230";"3230";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"10";"127137";"LAN";"HUC";;NULL;;;"77000";"11425";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"11";"105865";"BMS";"HUC";;NULL;;;"22000";"22000";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"11";"126436";"LAN";"HUC";;NULL;;;"12297000";"1065390";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"11";"126437";"LAN";"HUC";;NULL;;;"15780";"15780";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"11";"126757";"BMS";"HUC";;NULL;;;"13745";"13745";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"11";"126759";"LAN";"HUC";;NULL;;;"2725";"2725";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"11";"127137";"LAN";"HUC";;NULL;;;"77000";"9105";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"13";"105865";"BMS";"HUC";;NULL;;;"12000";"12000";NULL
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"13";"126436";"LAN";"HUC";;NULL;;;"23069000";"1898275";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"13";"126437";"LAN";"HUC";;NULL;;;"20745";"20745";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"13";"126757";"BMS";"HUC";;NULL;;;"11040";"11040";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"13";"127137";"LAN";"HUC";;NULL;;;"15000";"3045";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"14";"126436";"LAN";"HUC";;NULL;;;"16022000";"313407";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"14";"127137";"LAN";"HUC";;NULL;;;"104000";"6480";"cm"
"SL";"S";"DEU";"DEU";"2015";"DEU-DCF";"DEU20150686675";"16";"105865";"BMS";"HUC";;NULL;;;"8000";"3040";"cm"
